output_folder,output_file,file_size_mb
random_forest,t3_3_random_forest_calibration_curve.png,0.137
random_forest,t3_3_random_forest_calibration_table.csv,0.0
random_forest,t3_3_random_forest_confusion_matrices.csv,0.0
random_forest,t3_3_random_forest_feature_importance.csv,0.055
random_forest,t3_3_random_forest_hyperparameter_screening.csv,0.002
random_forest,t3_3_random_forest_lowest_feature_importance.csv,0.006
random_forest,t3_3_random_forest_model.joblib,316.536
random_forest,t3_3_random_forest_near_zero_feature_importance.csv,0.001
random_forest,t3_3_random_forest_performance.csv,0.001
random_forest,t3_3_random_forest_precision_recall_curve.png,0.124
random_forest,t3_3_random_forest_roc_curve.png,0.135
random_forest,t3_3_random_forest_tables.xlsx,0.047
random_forest,t3_3_random_forest_test_predictions.csv,2.837
random_forest,t3_3_random_forest_test_threshold_comparison.csv,0.002
random_forest,t3_3_random_forest_threshold_search_training.csv,0.013
random_forest,t3_3_random_forest_zero_feature_importance.csv,0.0
regularised_random_forest,t3_3_regularised_random_forest_calibration_curve.png,0.153
regularised_random_forest,t3_3_regularised_random_forest_calibration_table.csv,0.0
regularised_random_forest,t3_3_regularised_random_forest_confusion_matrices.csv,0.0
regularised_random_forest,t3_3_regularised_random_forest_derived_config.csv,0.0
regularised_random_forest,t3_3_regularised_random_forest_feature_importance.csv,0.055
regularised_random_forest,t3_3_regularised_random_forest_model.joblib,141.314
regularised_random_forest,t3_3_regularised_random_forest_performance.csv,0.001
regularised_random_forest,t3_3_regularised_random_forest_precision_recall_curve.png,0.133
regularised_random_forest,t3_3_regularised_random_forest_roc_curve.png,0.145
regularised_random_forest,t3_3_regularised_random_forest_tables.xlsx,0.049
regularised_random_forest,t3_3_regularised_random_forest_test_predictions.csv,2.833
regularised_random_forest,t3_3_regularised_random_forest_test_threshold_comparison.csv,0.002
regularised_random_forest,t3_3_regularised_random_forest_threshold_search_training.csv,0.013
WP3_3,t3_3_output_file_summary.csv,0.002
WP3_3,t3_3_random_forest_combined_discrimination_curves.png,0.273
WP3_3,t3_3_random_forest_generalisation_comparison.csv,0.0
WP3_3,t3_3_random_forest_sensitivity_comparison.csv,0.002
