output_folder,output_file,file_size_mb
calibrated_tuned_logistic_regression,t3_2_calibrated_tuned_logistic_calibration_table.csv,0.0
calibrated_tuned_logistic_regression,t3_2_calibrated_tuned_logistic_regression_model.joblib,0.025
calibrated_tuned_logistic_regression,t3_2_calibrated_tuned_logistic_regression_performance.csv,0.0
calibrated_tuned_logistic_regression,t3_2_calibrated_tuned_logistic_regression_test_predictions.csv,2.848
logistic_regression,t3_2_logistic_calibration_curve.png,0.142
logistic_regression,t3_2_logistic_calibration_table.csv,0.0
logistic_regression,t3_2_logistic_confusion_matrices.csv,0.0
logistic_regression,t3_2_logistic_regression_coefficients.csv,0.093
logistic_regression,t3_2_logistic_regression_model.joblib,0.008
logistic_regression,t3_2_logistic_regression_performance.csv,0.001
logistic_regression,t3_2_logistic_regression_tables.xlsx,0.053
logistic_regression,t3_2_logistic_regression_test_predictions.csv,2.83
logistic_regression,t3_2_logistic_roc_curve.png,0.141
logistic_regression,t3_2_logistic_threshold_search_training.csv,0.014
reference_baseline,t3_2_reference_baseline_model.joblib,0.001
reference_baseline,t3_2_reference_baseline_tables.xlsx,0.006
reference_baseline,t3_2_reference_baseline_test_predictions.csv,2.815
WP3_2,t3_2_logistic_model_comparison.csv,0.002
WP3_2,t3_2_output_file_summary.csv,0.002
tuned_logistic_regression,t3_2_tuned_logistic_calibration_curve.png,0.143
tuned_logistic_regression,t3_2_tuned_logistic_calibration_table.csv,0.0
tuned_logistic_regression,t3_2_tuned_logistic_confusion_matrices.csv,0.0
tuned_logistic_regression,t3_2_tuned_logistic_cv_results.csv,0.001
tuned_logistic_regression,t3_2_tuned_logistic_precision_recall_curve.png,0.124
tuned_logistic_regression,t3_2_tuned_logistic_regression_coefficients.csv,0.093
tuned_logistic_regression,t3_2_tuned_logistic_regression_model.joblib,0.143
tuned_logistic_regression,t3_2_tuned_logistic_regression_performance.csv,0.001
tuned_logistic_regression,t3_2_tuned_logistic_regression_tables.xlsx,0.055
tuned_logistic_regression,t3_2_tuned_logistic_regression_test_predictions.csv,2.829
tuned_logistic_regression,t3_2_tuned_logistic_roc_curve.png,0.143
tuned_logistic_regression,t3_2_tuned_logistic_selected_c_summary.csv,0.0
tuned_logistic_regression,t3_2_tuned_logistic_threshold_search_training.csv,0.014
WP3_2,wp3_2_csv_table_workbook.xlsx,10.419
WP3_2,wp3_2_csv_table_workbook_index.csv,0.003
